"parentTopicId","parentTopicSlug","childTopicId","childTopicSlug"
7424015264236886140,"college",8582816108322904754,"stetson-university"
10000000000000019977,"southern-united-states",7000272003859451486,"alabama"
8582816108322901654,"soul-music",627,"lenny-kravitz"
6490289872610913965,"telecommunications",9219221220892057556,"qualcomm"
9105155007173806684,"philosophy",6635,"ethics"
8582816108322875197,"neo-soul-music",10000000000000010320,"macy-gray"
10000000000000016629,"fashion-super",6282405736560313457,"tanning"
10000000000000000001,"food-and-drink-super",10000000000000017636,"sodas"
4960743447203102777,"biotechnology",10000000000000017513,"23andme"
5646379875885211920,"technology",6715916572741025395,"artificial-intelligence"
5553113223778426161,"fashion",9219221220892055398,"ed-hardy"
10000000000000018995,"animated-movies",7964,"family-guy"
8613801576760470017,"shopping",509,"target"
8612123615593663796,"jazz",10000000000000019690,"patti-labelle"
1297,"rock-music",8811240214664705355,"lady-gaga"
10000000000000017194,"video-game-companies",717,"maxis"
7885435154132139969,"jewelry",888,"swarovski"
10000000000000016632,"entertainment-super",8612123615593663796,"jazz"
5622927713684255417,"astronomy",9219221220892056338,"cosmology"
9219221220892054692,"great-lakes",9219221220892055162,"lake-michigan"
8582816108322835340,"figure-skating",10000000000000018615,"ice-dancing"
10000000000000016914,"labor-unions",10000000000000018367,"teamsters"
7424015264236886140,"college",10000000000000018114,"calvin-college"
6506298410212438936,"soccer",10000000000000018639,"queens-park-rangers-fc"
8611482751212451330,"italy",10000000000000020058,"piedmont"
8011822779745839479,"feminism",21,"womens-rights"
7008943767379250621,"sports",10000000000000011404,"stade-de-france"
9219221220892056455,"consumer-electronics",10000000000000019541,"konica-minolta"
10000000000000016634,"business-super",8295044628939853808,"angel-investing"
6876911932725542370,"ireland",9219221220892056643,"sligo"
10000000000000019018,"experimental-music",10000000000000009944,"the-cool-kids"
10000000000000017421,"singer-songwriters",9219221220892055221,"paula-abdul"
10000000000000017232,"currencies",9219221220892054042,"euro"
5241585099662481339,"music",8582816108322848868,"indie-pop"
1726,"hard-rock",10000000000000018553,"you-me-at-six"
9219221220892057944,"hardcore-punk",9219221220892057516,"rise-against"
5241585099662481339,"music",597,"ozzy-osbourne"
1297,"rock-music",10000000000000019688,"otis-redding"
10000000000000017426,"fandom",9219221220892056793,"felicia-day"
8582816108322877356,"nonprofit-sector",8795061344108952057,"ymca"
7142388197614860160,"country-music",10000000000000008603,"faith-hill"
8655841127676549162,"social-media",9219221220892055890,"flipboard"
5987120792558607184,"watches",10000000000000019429,"moto-360"
10000000000000017419,"r-and-b",10000000000000018567,"sistar"
7424015264236886140,"college",10000000000000017713,"university-of-chicago"
10000000000000016633,"art",10000000000000008306,"tate"
10000000000000000001,"food-and-drink-super",5411565666250928639,"cooking"
10000000000000017357,"actors",9219221220892056227,"rachel-mcadams"
5241585099662481339,"music",10000000000000019649,"bossa-nova"
5241585099662481339,"music",9219221220892057021,"peter-frampton"
7424015264236886140,"college",8582816108322916467,"university-of-florida"
7648257024411397825,"film",9219221220892055175,"high-school-musical"
9118006162132681215,"project-management",10000000000000019197,"program-management"
10000000000000016632,"entertainment-super",4856054298913562981,"filmmaking"
1297,"rock-music",10000000000000012573,"at-the-drive-in"
8325116929769409650,"management",10000000000000019197,"program-management"
5553113223778426161,"fashion",10000000000000011263,"ann-taylor"
5241585099662481339,"music",10000000000000008916,"roy-orbison"
8582816108322846862,"house-music",9219221220892056424,"cascada"
6812045516282676984,"comedy",9219221220892057630,"will-ferrell"
5148295420991216993,"conferences",10000000000000018775,"dld"
6379344339574414275,"video-games",9219221220892055214,"ign"
6913544436018361897,"neuroscience",10000000000000018450,"neurophysiology"
6012786567441837391,"mexico",6893058580785456603,"veracruz"
10000000000000017357,"actors",9219221220892056429,"eddie-izzard"
10000000000000000017,"lgbt-issues",10000000000000018386,"human-rights-campaign"
6801622226598374227,"physics",1256,"nuclear-power"
8623340011665545666,"television",10000000000000012664,"bein-sport"
10000000000000000040,"science",10000000000000019004,"women-in-science"
7424015264236886140,"college",10000000000000017857,"austin-peay-state-university"
4980350144317662911,"reality-television",6744310397296095656,"the-biggest-loser"
8065424964741862621,"garden",10000000000000016879,"garden-tools"
10000000000000017343,"music-festivals",10000000000000017379,"exit-fest"
10000000000000017421,"singer-songwriters",10000000000000010109,"ringo-starr"
10000000000000017591,"progressive-rock",10000000000000019713,"the-moody-blues"
8582816108322836738,"football",6415495680720993054,"cfl"
10000000000000017681,"folk-rock",10000000000000019707,"suzanne-vega"
5124804058834987200,"blues",10000000000000011359,"corinne-bailey-rae"
8582816108322848868,"indie-pop",10000000000000011684,"la-roux"
10000000000000000003,"health-and-wellness-super",7241868366904967103,"vaccines"
9001542287187925781,"techno",10000000000000010101,"the-crystal-method"
8635037620743388452,"djs",311,"thom-yorke"
8011822779745839479,"feminism",10000000000000018920,"gender-justice"
5241585099662481339,"music",10000000000000019020,"middle-eastern-music"
8623340011665545666,"television",1268,"hdmi"
10000000000000017212,"department-stores",9219221220892053851,"macy"
9219221220892058598,"innovation",9219221220892055861,"nikola-tesla"
10000000000000020184,"west-midlands",8008517808893324870,"worcester"
8119426466902417284,"politics",10000000000000011524,"steve-forbes"
8582816108322908713,"tennis",10000000000000009425,"atp-world-tour"
7424015264236886140,"college",7608758763582102933,"university-of-georgia"
8571820030981802852,"yorkshire",7574914472049085643,"sheffield"
6730862071429684710,"computer-science",10000000000000018498,"human-computer-interaction"
5241585099662481339,"music",9219221220892055574,"deftones"
10000000000000000000,"arts-and-humanities-super",7939128353888902589,"creativity"
8582816108322886634,"pop-music",10000000000000018562,"b2st"
10000000000000017177,"fantasy-fiction",2926,"hobbit"
872,"ecology",10000000000000018457,"endangered-species"
7142388197614860160,"country-music",9219221220892055831,"james-taylor"
10000000000000016450,"history",3366,"winston-churchill"
